question,prediction,truth,exact_match,f1
Kết quả gì được thông báo trên website của Trường?,Kết quả đăng ký học phần của mỗi sinh viên,đăng ký học phần của mỗi sinh viên,0,0.888888888888889
Kết quả đăng ký học phần thể hiện những gì?,phần.,"tên học phần, mã học phần, số tín chỉ của mỗi học phần, lịch học của các học phần",0,0.0
"Ngoài tên học phần, mã học phần, số tín chỉ của mỗi học phần, kết quả đăng ký học phần còn thể hiện?",lịch học của các học phần.,lịch học của các học phần,0,0.6666666666666666
"Tên học phần, mã học phần, số tín chỉ của mỗi học phần, lịch học của các học phần là những đối tượng phải có trong?",Kết quả đăng ký học phần,Kết quả đăng ký học phần ,0,1.0
Trách nhiệm của sinh viên đối với học phần đã đăng ký?,thực hiện đầy đủ các yêu cầu của môn học,"thực hiện đầy đủ các yêu cầu của môn học như lên lớp, làm bài tập, thực hành, thí nghiệm, tham gia thảo luận, dự kiểm tra thường kỳ và thi kết thúc học phần",0,0.4444444444444445
Các yêu cầu của môn học là gì?,lên,"lên lớp, làm bài tập, thực hành, thí nghiệm, tham gia thảo luận, dự kiểm tra thường kỳ và thi kết thúc học phần",0,0.07999999999999999
Sinh viên phải đăng ký học lại các học phần bắt buộc có điểm dưới bao nhiêu?,"5,0","5,0",1,1.0
Điểm học phần dưới bao nhiêu thì sinh viên phải đăng ký học lại các học phần bắt buộc?,"5,0","5,0",1,1.0
"Đối với các học phần bắt buộc, khi nào sinh viên phải đăng ký học lại?","điểm học phần dưới 5,0  ở các học kỳ trước.","có điểm học phần dưới 5,0  ở các học kỳ trước",0,0.761904761904762
"Đối với các học phần tự chọn, nếu điểm dưới 5 thì có cần học lại?","điểm dưới 5,0 sinh viên được phép đăng ký học lại",được phép đăng ký học lại học phần đó hoặc chọn học phần khác thay thế trong số các học phần tự chọn quy định cho mỗi ngành đào tạo,0,0.29268292682926833
"Đối với các học phần tự chọn, sinh viên có bị bắt buộc phải đăng ký học lại nếu điểm dưới 5,0 không?","nếu điểm dưới 5,0",được phép đăng ký học lại học phần đó hoặc chọn học phần khác thay thế trong số các học phần tự chọn quy định cho mỗi ngành đào tạo,0,0.0
"Đối với các học phần tự chọn, nếu điểm dưới 5,0 thì sinh viên có những sự lựa chọn nào?",đăng ký học lại học phần đó hoặc chọn học phần khác,đăng ký học lại học phần đó hoặc chọn học phần khác thay thế trong số các học phần tự chọn quy định cho mỗi ngành đào tạo,0,0.45000000000000007
"Có bắt buộc phải đăng ký học lại học phần đối với học phần tự chọn khi điểm dưới 5,0 không?","nếu điểm dưới 5,0 sinh viên được phép đăng ký học",đăng ký học lại học phần đó hoặc chọn học phần khác thay thế trong số các học phần tự chọn quy định cho mỗi ngành đào tạo,0,0.15384615384615383
Nếu chọn đăng ký học phần tự chọn khác để thay thế thì phải làm thủ tục thế nào?,làm,làm đơn xin hủy học phần tự chọn,0,0.2222222222222222
Cần phải làm gì trong trường hợp đăng ký học phần tự chọn khác để thay thế thay vì đăng ký học lại học phần đó?,nghiệp,làm đơn xin hủy học phần tự chọn ,0,0.0
Sinh viên phải làm đơn xin hủy học phần tự chọn thi không đạt khi nào?,nộp hồ sơ xét tốt nghiệp,đăng ký học phần tự chọn khác để thay thế,0,0.0
Sinh viên phải làm đơn xin hủy học phần tự chọn thi không đạt vào lúc nào?,nộp hồ sơ xét tốt nghiệp,nộp hồ sơ xét tốt nghiệp ,0,1.0
Vì sao đơn xin hủy học phần tự chọn thi không đạt phải chờ đến lúc nộp hồ sơ xét tốt nghiệp mới được làm?,sinh viên đăng ký học phần tự chọn khác để thay thế,sinh viên không được hủy kết quả học tập trong lúc đang học,0,0.24000000000000002
Có được nộp đơn xin hủy học phần tự chọn thi không đạt khi đang trong quá trình học tập không?,không,sinh viên không được hủy kết quả học tập trong lúc đang học,0,0.14285714285714288
Đơn vị dùng để lượng hóa chi phí của các hoạt hoạt động giảng dạy tính cho từng học phần gọi là gì?,Tín chỉ học phí,Tín chỉ học phí (TCHP),0,0.888888888888889
Thế nào là tín chỉ học phí (TCHP) ?,tín chỉ học phí của học phần học cải thiện.,đơn vị dùng để lượng hóa chi phí của các hoạt động giảng dạy tính cho từng học phần,0,0.27586206896551724
Số TCHP của mỗi học phần được xác định như thế nào?,căn cứ vào đề cương và cách thức tổ chức học phần;,căn cứ vào đề cương và cách thức tổ chức học phần,0,0.9166666666666666
Phần giảng dạy lý thuyết tại lớp tương đương với bao nhiêu TCHP?,1,1 TCHP,0,0.6666666666666666
Những phần nào thì tương đương với 1 TCHP?,"Phần giảng dạy thực hành, thí nghiệm, thảo luận:","Phần giảng dạy lý thuyết tại lớp: 15 tiết tương đương với 1 TCHP. Phần giảng dạy thực hành, thí nghiệm, thảo luận: 15 tiết tương đương với 1 TCHP",0,0.4615384615384615
Học phần nào được xác định số TCHP riêng?,"học phần Giáo dục quốc phòng-An ninh,","học phần Giáo dục quốc phòng-An ninh, Giáo dục thể chất, Thực tập doanh nghiệp, Khóa luận tốt nghiệp, Môn học đồ án bao gồm chuyên đề nghiên cứu khoa học, seminar,… ",0,0.358974358974359
Giáo dục thể chất được tính bao nhiêu TCHP?,3,được xác định số TCHP riêng,0,0.0
Ai là người ban hành số TCHP cho các học phần đặc biệt?,Hiệu trưởng,Hiệu trưởng ,0,1.0
Có bao nhiêu loại TCHP?,3,3 loại ,0,0.6666666666666666
Thế nào là THCP học lại?,"điểm học phần dưới 5,0  ở các học kỳ trước.",tín chỉ học phí của học phần học lại,0,0.2105263157894737
TPHP học cải thiện là gì?,"những học phần có điểm từ 5,0 đến 5,4,",tín chỉ học phí của học phần học cải thiện,0,0.2105263157894737
Trường sẽ công bố mức học phí cho mỗi loại TCHP khi nào?,"Đầu năm học,",Đầu năm học,0,0.6666666666666666
Mức học phí cho được công bố vào thời điểm nào?,"Đầu năm học,",Đầu năm học,0,0.6666666666666666
"Đối với học kỳ chính, học phí mỗi học kỳ chính của sinh viên đang học tại Trường được xác định theo công thức nào?","∑TCHPHL + HPTCCT × ∑TCHPCT""",Học phí = HPHK + HPTCHL × ∑TCHPHL + HPTCCT × ∑TCHPCT,0,0.47058823529411764
Công thức xác đính học phí mỗi học kỳ chính của sinh viên đang học tại trường?,HPHK + HPTCHL × ∑TCHPHL,Học phí = HPHK + HPTCHL × ∑TCHPHL + HPTCCT × ∑TCHPCT,0,0.5882352941176471
"Trong công thức xác định học phí mỗi học kỳ chính của sinh viên đang học tại Trường, HPHK nghĩa là gì?","học phí học kỳ,",học phí học kỳ,0,0.5
"Trong công thức xác định học phí mỗi học kỳ chính của sinh viên đang học tại Trường, HPTCHL nghĩa là gì?","mức học phí cho loại tín chỉ học phí học lại,",mức học phí cho loại tín chỉ học phí học lại,0,0.6363636363636364
"Trong công thức tính học phí mỗi học kỳ chính của sinh viên đang học tại Trường, HPTCCT nghĩa là gì?","mức học phí cho loại tín chỉ học phí học cải thiện,",mức học phí cho loại tín chỉ học phí học cải thiện,0,0.6666666666666666
"Trong công thức tính học phí mỗi học kỳ chính của sinh viên đang học tại Trường, TCHPCT nghĩa là gì?",số lượng tín chỉ học phí của môn học cải thiện.,số lượng tín chỉ học phí của môn học cải thiện,0,0.8181818181818182
HPHK là gì trong công thức tính học phí mỗi học kỳ chính của sinh viên đang theo học tại Trường?,"học phí học kỳ,",học phí học kỳ,0,0.5
HPTCHL nghĩa là gì trong công thức tính học phí mỗi học kỳ chính của sinh viên đang học tại Trường?,"mức học phí cho loại tín chỉ học phí học lại,",mức học phí cho loại tín chỉ học phí học lại,0,0.6363636363636364
TCHPHL là gì trong công thức xác định học phí mỗi học kỳ chính của sinh viên đang học tại trường?,"số lượng tín chỉ học phí của môn học lại,",số lượng tín chỉ học phí của môn học lại,0,0.8000000000000002
HPTCCT là gì trong công thức xác định học phí mỗi học kỳ chính của sinh viên đang học tại trường?,"mức học phí cho loại tín chỉ học phí học cải thiện,",mức học phí cho loại tín chỉ học phí học cải thiện,0,0.6666666666666666
TCHPCT là gì?,tín chỉ học phí của học phần học cải thiện.,số lượng tín chỉ học phí của môn học cải thiện,0,0.5714285714285713
Làm sao để tính học phí mỗi học kỳ chính?,HPHK,"Học phí = HPHK + HPTCHL × ∑TCHPHL + HPTCCT × ∑TCHPCT""",0,0.15384615384615385
Mức học phí mỗi học kỳ chính của sinh viên?,HPHK,"""Học phí = HPHK + HPTCHL × ∑TCHPHL + HPTCCT × ∑TCHPCT"" ",0,0.15384615384615385
Khi nào được miễn học anh văn?,"học kỳ thứ 2 của khóa học,",Sinh viên có một trong các chứng chỉ tiếng Anh đạt trình độ quy định,0,0.0
Làm thế nào để biết em có được miễn học tiếng anh hay không?,sinh,Sinh viên có một trong các chứng chỉ tiếng Anh đạt trình độ quy định,0,0.0
Không cần học anh văn trong trường có được không?,không,Sinh viên có một trong các chứng chỉ tiếng Anh đạt trình độ quy định,0,0.0
Trường có chế độ miễn học anh văn không?,không,xét miễn học các môn học tiếng Anh,0,0.0
Chứng chỉ tiếng anh nào thì được miễn anh văn 2?,Anh văn 1,"TOEIC[450],TOEFL_iBT[37],IELTS[4.5],VNU[151-175]",0,0.0
TOEIC 500 được miễn anh văn nào?,3,Anh văn 3,0,0.5
"Em IELTS 8.0 nhưng bằng hết hạn từ tháng 8 năm ngoái, có thể xin được miễn học anh văn không?",không,phải còn hiệu lực tính đến ngày xét công nhận,0,0.0
IELTS bao nhiêu chấm thì được miễn học anh văn 3?,ĐTĐH.,IELTS[5.0],0,0.0
IELTS 5.5 có được miễn học anh văn 2 không?,không,IELTS[5.0],0,0.0
IELTS 5.5 được miễn học anh văn nào?,Anh văn 3,Anh văn 2,0,0.6666666666666666
"Khi đã thỏa mãn các yêu cầu về chứng chỉ tiếng anh, làm thủ tục xin miễn học anh văn thế nào?",nộp đơn theo mẫu (phụ lục đính kèm),"nộp đơn theo mẫu (phụ lục đính kèm) kèm theo bản sao và mang theo bản gốc của chứng chỉ để kiểm tra, đối chiếu cho Phòng ĐTĐH",0,0.4444444444444445
Khi nào xét miễn anh văn,"Hai tuần trước khi bắt đầu học kỳ,",Hai tuần trước khi bắt đầu học kỳ,0,0.875
"Khi xin miễn học anh văn, phải làm đơn thế nào và nộp ở đâu?",nộp,"Hai tuần trước khi bắt đầu học kỳ, sinh viên thỏa mãn các điều kiện về miễn học tại Khoản 1 điều này nộp đơn theo mẫu (phụ lục đính kèm) kèm theo bản sao và mang theo bản gốc của chứng chỉ để kiểm tra, đối chiếu cho Phòng ĐTĐH. ",0,0.038461538461538464
Vì sao em đã đủ điều kiện xin xét miễn học anh văn mà đơn của em vẫn không được duyệt?,các chứng chỉ tiếng Anh đạt trình độ quy định,"Sau học kỳ thứ 2 của khóa học, sinh viên không được xem xét miễn học các môn học tiếng Anh",0,0.19354838709677416
Sinh viên bị cảnh báo học vụ khi nào?,vi,"Không hoàn thành nghĩa vụ học phí đúng quy định, có ĐTBHK đang xét dưới 3,0 hoặc điểm trung bình của liên tiếp 2 học kỳ gần nhất đều dưới 4,0",0,0.0
Vi phạm những trường hợp nào thì sinh viên bị cảnh báo học vụ?,vi phạm lần đầu trong việc đi thi hộ hoặc nhờ người thi hộ.,"Không hoàn thành nghĩa vụ học phí đúng quy định, có ĐTBHK đang xét dưới 3,0 hoặc điểm trung bình của liên tiếp 2 học kỳ gần nhất đều dưới 4,0.",0,0.044444444444444446
Nếu sinh viên không hoàn thành nghĩa vụ học phí đúng quy định thì sao?,xin gia hạn đóng học phí và nộp về Phòng Kế hoạch – Tài chính,cảnh báo học vụ,0,0.10526315789473685
Sinh viên vi phạm bao nhiêu lần thì bị cảnh cáo?,1 năm học nếu vi phạm lần đầu,một,0,0.0
Có ĐTBHK đang xét dưới bao nhiêu điểm thì sinh viên bị cảnh báo học vụ?,"3,0","dưới 3,0 ",0,0.6666666666666666
"Điểm trung bình của liên tiếp bao nhiêu học kỳ gần nhất dưới 4,0 thì sinh viên bị cảnh báo học vụ?",2,2 học kỳ,0,0.5
Sinh viên không hoàn thành nghĩa vụ học phí đúng quy định thì có bị cảnh báo học vụ không?,"dưới 3,0",bị cảnh báo học vụ,0,0.0
Thời hạn cảnh báo học vụ kéo dài trong bao lâu?,một học kỳ chính tiếp theo.,trong một học kỳ chính tiếp theo,0,0.7692307692307692
Sinh viên bị cảnh báo học vụ cho đến khi nào?,một học kỳ chính tiếp theo.,trong một học kỳ chính tiếp theo,0,0.7692307692307692
Khi kết thúc thời hạn cảnh báo học vụ thì chuyện gì xảy ra?,Sinh viên sẽ được tự động xóa hình thức xử lý,Sinh viên sẽ được tự động xóa hình thức xử lý ,0,1.0
Sinh viên sẽ được tự động xóa hình thức xử lý khi nào?,kết thúc thời hạn.,khi kết thúc thời hạn,0,0.6666666666666665
Sinh viên bị cảnh báo học vụ vì kết quả học tập chỉ được đăng ký học tối đa bao nhiêu tín chỉ trong học kỳ đó?,14,14 ,0,1.0
Số tín chỉ tối đa sinh viên được đăng ký học trong học kỳ đó nếu bị cảnh báo học vụ vì kết quả học tập?,14,14 ,0,1.0
Trong trường hợp nào sinh viên chỉ được đăng ký học tối đa 14 tín chỉ trong 1 học kỳ?,Sinh viên bị cảnh báo học vụ,Sinh viên bị cảnh báo học vụ vì kết quả học tập ,0,0.7368421052631579
Giấy chứng nhận kết quả môn học được lấy ở đâu?,Trường,Trường,1,1.0
Khi nào thì em được nhận giấy chứng nhận kết quả môn học?,hoàn tất quá trình học tập theo quy định.,hoàn tất quá trình học tập theo quy định,0,0.8888888888888888
Giấy chứng nhận sẽ đến tay em khi nào?,"không trực tiếp đến nhận văn bằng, chứng chỉ.",hoàn tất quá trình học tập theo quy định,0,0.0
"Vì sao em vẫn chưa có giấy chứng nhận kết quả môn học, khi nào thì em mới được nhận?",không đủ điều kiện cấp bằng tốt nghiệp,khi hoàn tất quá trình học tập theo quy định,0,0.0
Việc công nhận và chuyển đổi tín chỉ đối với đào tạo văn bằng 2 và liên thông được thực hiện theo nguyên tắc nào?,sau:,"những môn học đã tích lũy có  từ 80% trở lên nội dung tương đương với nội dung môn học trong chương trình đào tạo, căn cứ chương trình môn học và kết quả trên bảng điểm học tập của sinh viên",0,0.0
"Em đang dự định chuyển đổi tín chỉ đối với đào tạo văn bằng 2 và liên thông, em muốn biết cách thức cũng như nguyên tắc chuyển đổi?",nguyên tắc sau:,"được công nhận và chuyển đổi tín chỉ đối với những môn học đã tích lũy có  từ 80% trở lên nội dung tương đương với nội dung môn học trong chương trình đào tạo, căn cứ chương trình môn học và kết quả trên bảng điểm học tập của sinh viên, Hiệu trưởng quyết định việc công nhận kết quả học tập, khối lượng kiến thức và các môn học cần phải bổ sung. ",0,0.0
"Em dự định chuyển đổi tín chỉ, em có một thắc mắc là đối với những môn học nào thì em được phép chuyển đổi tín chỉ?",những,"đã tích lũy có  từ 80% trở lên nội dung tương đương với nội dung môn học trong chương trình đào tạo, căn cứ chương trình môn học và kết quả trên bảng điểm học tập của sinh viên",0,0.0
Kết quả học tập và các môn học cần phải bổ sung khi chuyển đổi tín chỉ do ai quyết định?,Hiệu trưởng,Hiệu trưởng,1,1.0
Nguyên tắc của việc công nhận và chuyển đổi tín chỉ?,Sinh,"Kết quả đối sánh chuẩn đầu ra, chương trình đào tạo và nội dung môn học",0,0.0
Điều gì là cốt lõi cho việc công nhận và chuyển đổi tín chỉ?,học,chương trình đào tạo và nội dung môn học ,0,0.19999999999999998
Cốt lõi của việc công nhận và chuyển đổi tín chỉ?,học,chương trình đào tạo và nội dung môn học ,0,0.19999999999999998
Khi chuyển đổi tín chỉ thì điều gì là trọng tâm?,Kết,chương trình đào tạo và nội dung môn học ,0,0.0
Cơ sở cho việc công nhận và chuyển đổi tín chỉ là gì?,học,chương trình đào tạo và nội dung môn học ,0,0.19999999999999998
Quy định về tổng số tín chỉ được công nhận và chuyển đổi?,thông.,"Tổng số tín chỉ được công nhận và chuyển đổi không vượt quá 25% tổng số tín chỉ của chương trình đào tạo đối với đào tạo chính quy tập trung và không vượt quá 50% đối với đào tạo không chính quy, văn bằng 2 và liên thông",0,0.0
Tổng số tín chỉ được công nhận và chuyển đổi có bị giới hạn hay không?,không,"Tổng số tín chỉ được công nhận và chuyển đổi không vượt quá 25% tổng số tín chỉ của chương trình đào tạo đối với đào tạo chính quy tập trung và không vượt quá 50% đối với đào tạo không chính quy, văn bằng 2 và liên thông",0,0.039999999999999994
Điều kiện để sinh được chuyển trường?,có đủ các điều kiện sau:,"Trong thời gian học tập, nếu gia đình sinh viên chuyển hộ khẩu thường trú, chuyển nơi công tác hoặc sinh viên có hoàn cảnh khó khăn, cần thiết phải chuyển đến trường gần nơi cư trú của gia đình để có điều kiện học tập, Trường xin chuyển đi và trường tiếp nhận có cùng ngành học hoặc cùng nhóm ngành đào tạo, Được sự đồng ý của Hiệu trưởng trường xin chuyển đi và Hiệu trưởng trường tiếp nhận, Không phải là sinh viên năm thứ nhất hoặc năm cuối",0,0.06122448979591836
Sinh viên được chuyển trường khi nào?,"Trong thời gian học tập,","Trong thời gian học tập, nếu gia đình sinh viên chuyển hộ khẩu thường trú, chuyển nơi công tác hoặc sinh viên có hoàn cảnh khó khăn, cần thiết phải chuyển đến trường gần nơi cư trú của gia đình để có điều kiện học tập, Trường xin chuyển đi và trường tiếp nhận có cùng ngành học hoặc cùng nhóm ngành đào tạo, Được sự đồng ý của Hiệu trưởng trường xin chuyển đi và Hiệu trưởng trường tiếp nhận, Không phải là sinh viên năm thứ nhất hoặc năm cuối",0,0.10309278350515463
"Trong thời gian học tập, nếu gia đình sinh viên chuyển hộ khẩu thường trú thì có thể làm gì?",chuyển đến trường gần nơi cư trú của gia đình,chuyển trường,0,0.33333333333333337
Nếu sinh viên muốn chuyển trường thì trường tiếp nhận sinh viên có thể là bất cứ trường nào phải không?,không,cùng ngành học hoặc cùng nhóm ngành đào tạo,0,0.0
Sinh viên phải nhận được sự đồng ý của những ai thì mới được chuyển trường?,"Hiệu trưởng trường xin chuyển đi và Hiệu trưởng trường tiếp nhận,",Hiệu trưởng trường xin chuyển đi và Hiệu trưởng trường tiếp nhận,0,0.6666666666666666
Sinh viên năm thứ bao nhiêu thì không được chuyển trường?,năm thứ nhất hoặc năm cuối,sinh viên năm thứ nhất hoặc năm cuối theo quy định tại Khoản 5 Điều 10,0,0.45454545454545453
Quy định nào quy định sinh viên năm thứ nhất hoặc năm cuối không đủ điều kiện để được chuyển trường?,Khoản 5 Điều 10.,quy định tại Khoản 5 Điều 10,0,0.5454545454545454
Trong trường hợp nào thì sinh viên không được phép chuyển trường?,"Sinh viên đã tham dự kỳ thi Trung học phổ thông quốc gia,","Sinh viên đã tham dự kỳ thi Trung học phổ thông quốc gia, đồng thời dự tuyển vào trường nhưng không trúng tuyển hoặc có kết quả thi thấp hơn điểm xét trúng tuyển của trường, ngành xin chuyển đến (đối với các khóa trước năm 2015 là kết quả kỳ thi tuyển sinh vào Đại học, Cao đẳng), Sinh viên có hộ khẩu thường trú thuộc diện nằm ngoài vùng tuyển quy định của trường xin chuyển đến, Sinh viên năm thứ nhất hoặc năm cuối của thời gian thiết kế khóa học, Sinh viên đang chịu mức kỷ luật từ cảnh báo trở lên (trường hợp bị kỷ luật vì kết quả học tập có thể được Hiệu trưởng xem xét, quyết định cho chuyển). ",0,0.1857142857142857
Không cho phép chuyển trường đối với đối tượng sinh viên nào?,"Sinh viên đã tham dự kỳ thi Trung học phổ thông quốc gia,","Sinh viên đã tham dự kỳ thi Trung học phổ thông quốc gia, đồng thời dự tuyển vào trường nhưng không trúng tuyển hoặc có kết quả thi thấp hơn điểm xét trúng tuyển của trường, ngành xin chuyển đến (đối với các khóa trước năm 2015 là kết quả kỳ thi tuyển sinh vào Đại học, Cao đẳng), Sinh viên có hộ khẩu thường trú thuộc diện nằm ngoài vùng tuyển quy định của trường xin chuyển đến, Sinh viên năm thứ nhất hoặc năm cuối của thời gian thiết kế khóa học, Sinh viên đang chịu mức kỷ luật từ cảnh báo trở lên (trường hợp bị kỷ luật vì kết quả học tập có thể được Hiệu trưởng xem xét, quyết định cho chuyển). ",0,0.1857142857142857
Sinh viên đang chịu mức kỷ luật từ cảnh báo trở lên có thể được xem xét chuyển trường hay không?,không,"trường hợp bị kỷ luật vì kết quả học tập có thể được Hiệu trưởng xem xét, quyết định cho chuyển",0,0.0
"Trường hợp bị kỷ luật vì kết quả học tập có thể được ai xem xét, quyết định cho chuyển?",Hiệu trưởng,Hiệu trưởng ,0,1.0
Cơ quan nào quy định mẫu hồ sơ xin chuyển trường?,Bộ GD&ĐT.,Bộ GD&ĐT.,1,1.0
Sinh viên xin chuyển trường làm hồ sơ như thế nào?,theo mẫu quy định thống nhất của Bộ GD&ĐT.,hồ sơ xin chuyển trường theo mẫu quy định thống nhất của Bộ GD&ĐT.,0,0.782608695652174
Sinh viên xin chuyển trường cần phải có gì?,hồ sơ xin chuyển trường theo mẫu quy định thống nhất của Bộ GD&ĐT.,có hồ sơ xin chuyển trường theo mẫu quy định thống nhất của Bộ GD&ĐT.,0,0.9655172413793104
Sinh viên bị buộc thôi học trong trường hợp nào?,vi,"vi phạm một trong những trường hợp sau đây: Tự ý bỏ học (không đăng ký học phần) hoặc bỏ thi (không phải thuộc diện cấm thi) từ một học kỳ chính trở lên (ĐTBHK bằng 0), Đã hết thời gian tối đa hoàn thành khóa học, Bị cảnh báo học vụ lần thứ hai liên tiếp và vẫn tái phạm Khoản 1 Điều 17, Bị đình chỉ học tập lần thứ hai, Vi phạm kỷ luật có tính chất và mức độ nghiêm trọng, gây ảnh hưởng xấu đến Trường và xã hội; hoặc vi phạm pháp luật bị xử phạt tù giam",0,0.01904761904761905
Những vi phạm có thể khiến sinh viên bị buộc thôi học?,Tự,"Tự ý bỏ học (không đăng ký học phần) hoặc bỏ thi (không phải thuộc diện cấm thi) từ một học kỳ chính trở lên (ĐTBHK bằng 0), Đã hết thời gian tối đa hoàn thành khóa học, Bị cảnh báo học vụ lần thứ hai liên tiếp và vẫn tái phạm Khoản 1 Điều 17, Bị đình chỉ học tập lần thứ hai, Vi phạm kỷ luật có tính chất và mức độ nghiêm trọng, gây ảnh hưởng xấu đến Trường và xã hội; hoặc vi phạm pháp luật bị xử phạt tù giam",0,0.020833333333333332
Vì sao một sinh viên bị buộc thôi học?,vi phạm một trong những trường hợp sau đây: Tự ý bỏ học,"vi phạm một trong những trường hợp sau đây: Tự ý bỏ học (không đăng ký học phần) hoặc bỏ thi (không phải thuộc diện cấm thi) từ một học kỳ chính trở lên (ĐTBHK bằng 0), Đã hết thời gian tối đa hoàn thành khóa học, Bị cảnh báo học vụ lần thứ hai liên tiếp và vẫn tái phạm Khoản 1 Điều 17, Bị đình chỉ học tập lần thứ hai, Vi phạm kỷ luật có tính chất và mức độ nghiêm trọng, gây ảnh hưởng xấu đến Trường và xã hội; hoặc vi phạm pháp luật bị xử phạt tù giam",0,0.2222222222222222
Nếu sinh viên tự ý bỏ (không đăng ký học phần) thì sẽ bị xử lý như thế nào?,không đạt vào lúc nộp hồ sơ xét tốt nghiệp,buộc thôi học,0,0.0
"Tự ý bỏ học (không đăng ký học phần) hoặc bỏ thi (không phải thuộc diện cấm thi) từ một học kỳ chính trở lên (ĐTBHK bằng 0), Đã hết thời gian tối đa hoàn thành khóa học, Bị cảnh báo học vụ lần thứ hai liên tiếp và vẫn tái phạm Khoản 1 Điều 17, Bị đình chỉ học tập lần thứ hai, Vi phạm kỷ luật có tính chất và mức độ nghiêm trọng, gây ảnh hưởng xấu đến Trường và xã hội; hoặc vi phạm pháp luật bị xử phạt tù giam là những hành vi có thể dẫn đến hậu quả gì cho sinh viên?",Sinh viên bị buộc thôi học,bị buộc thôi học ,0,0.8
Hành vi nào được gọi là tự ý bỏ học?,đi thi hộ hoặc nhờ người thi hộ.,không đăng ký học phần,0,0.0
Trong trường hợp nào sinh viên không đi thi (bỏ thi) nhưng không bị buộc thôi học?,từ một học kỳ chính trở lên,thuộc diện cấm thi,0,0.0
Tự ý bỏ học (không đăng ký học phần) hoặc bỏ thi (không phải thuộc diện cấm thi) từ bao lâu trở lên thì bị buộc thôi học?,một học kỳ chính trở lên,từ một học kỳ chính trở lên,0,0.923076923076923
Sinh viên bị buộc thôi học nếu bị cảnh báo hoc vụ lần thứ bao nhiêu liên tiếp và vẫn tái phạm Khoản 1 Điều 17?,lần thứ hai,lần thứ hai liên tiếp ,0,0.7499999999999999
Vi phạm kỷ luật có tính chất và mức độ như thế nào thì sinh viên bị buộc thôi học?,"nghiêm trọng,","nghiêm trọng, gây ảnh hưởng xấu đến Trường và xã hội",0,0.3076923076923077
Nếu sinh viên có tên trong quyết định buộc thôi học thì chuyện gì xảy ra?,bị xóa tên khỏi danh sách sinh viên chính thức của Trường.,bị xóa tên khỏi danh sách sinh viên chính thức của Trường,0,0.9166666666666666
Trong trường hợp nào sinh viên bị xóa tên khỏi danh sách sinh viên chính thức của Trường?,Sinh viên có tên trong quyết định buộc thôi học,Sinh viên có tên trong quyết định buộc thôi học ,0,1.0
Trường có trách nhiệm thông báo về địa phương và gia đình sinh viên biết chậm nhất là bao lâu sau khi có quyết định buộc thôi học?,một tháng,một tháng,1,1.0
Trách nhiệm của Trường khi có quyết định buộc 1 sinh viên thôi học?,thông,thông báo về địa phương và gia đình sinh viên biết chậm nhất một tháng sau khi có quyết định buộc thôi học.,0,0.08333333333333333
Ai sẽ nhận được thông báo khi có quyết định buộc thôi học 1 sinh viên?,địa phương và gia đình sinh viên,địa phương và gia đình sinh viên,1,1.0
Trong trường hợp nào thí sinh trúng tuyển có thể xin bảo lưu kết quả?,"bệnh tật, tai nạn, hoàn cảnh khó khăn xảy ra đột xuất,","một số hoàn cảnh đặc biệt  như bệnh tật, tai nạn, hoàn cảnh khó khăn xảy ra đột xuất",0,0.7096774193548387
Thí sinh sau khi được xét trúng tuyển vào trường có thể xin bảo lưu kết quả hay không?,có thể xin bảo lưu kết quả.,"một số hoàn cảnh đặc biệt  như bệnh tật, tai nạn, hoàn cảnh khó khăn xảy ra đột xuất",0,0.0
Việc xét xin bảo lưu kết quả của thí sinh trúng tuyển được thực hiện trong trường hợp nào?,có quyết định chấp thuận của Hiệu trưởng.,"một số hoàn cảnh đặc biệt  như bệnh tật, tai nạn, hoàn cảnh khó khăn xảy ra đột xuất",0,0.0
Thí sinh trúng tuyển phải nộp đơn xin bảo lưu chậm nhất bao nhiêu ngày kể từ ngày gọi nhập học cho P. ĐTĐH của Trường ?,15 ngày,15 ngày ,0,1.0
Thời hạn tối đa để thí sinh trúng tuyển nộp đơn xin bảo lưu?,15 ngày,15 ngày ,0,1.0
Ai là người xét duyệt đơn xin bảo lưu kết quả của sinh viên trúng tuyển?,Hiệu trưởng.,Hiệu trưởng,0,0.5
Điều kiện để đơn xin bảo lưu kết quả hợp lệ?,Thí,Thí sinh trúng tuyển phải nộp đơn xin bảo lưu chậm nhất 15 ngày kể từ ngày gọi nhập học cho P. ĐTĐH của Trường và chỉ được bảo lưu khi có quyết định chấp thuận của Hiệu trưởng,0,0.05
Thời gian bảo lưu kết quả trúng tuyển?,không quá 01 năm.,không quá 01 năm,0,0.75
Thí sinh trúng tuyển được bảo lưu kết quả trúng tuyển trong thời hạn bao lâu?,không quá 01 năm.,không quá 01 năm,0,0.75
"Nếu muốn nhập học lại, thí sinh trúng tuyển cần phải làm gì?",làm đơn xin nhập học kèm theo quyết định bảo lưu nộp P. ĐTĐH, thí sinh phải làm đơn xin nhập học kèm theo quyết định bảo lưu nộp P. ĐTĐH của Trường trước khi bắt đầu học kỳ ít nhất 1 tháng để được giải quyết.,0,0.5957446808510638
